stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
1201859670,257703812,285838960,,,2
1201977523,279066374,227633332,,,2
1202004361,237584065,298138742,,,2
1202049599,255443211,210144389,,,2
1202050236,238228817,237677928,,,2
1202050240,233037178,216334289,,,2
1202050241,275867279,216334289,,,2
1202050244,280480939,210461767,,,2
1202050245,279814460,210461767,,,2
1202050246,260788081,280480939,,,2
1202050247,279814460,260788081,,,2
1202051930,210598148,242374316,,,2
1202051932,235369991,261885333,,,2
1202051934,261885334,239683931,,,2
1202055152,253205077,231577547,,,2
1202055154,224865475,266244486,,,2
1202055158,245882303,,,,1
1202055162,243103104,294526188,,,2
1202060444,230298444,231722416,,,2
1202061979,255156312,275446266,,,2
1202063647,278170757,267187988,,,2
1202083610,235577494,257648390,,,2
1203517929,261960044,222909837,,,2
1203517930,259472335,,,,1
1203732333,271193078,299059160,,,2
1203732334,278454423,291475267,,,2
1203732335,215354625,244586742,,,2
1204130052,245389484,226694841,,,2
1204136127,281890915,247737028,,,2
1204136128,276102060,239443308,,,2
1204136129,281351557,297276992,,,2
1204136130,210561861,276102060,,,2
1206004020,217825717,267915786,,,2
1206004022,220333469,274780845,,,2
1206004028,233804929,,,,1
1206017954,242806297,298553992,,,2
1206018822,255910856,214218009,,,2
1206019085,211291427,223097365,,,2
1206027530,246606546,,,,1
1206030079,273364970,,,,1
1206032360,235800929,259755368,,,2
1206034371,290541296,237106834,,,2
1206035415,246288560,218376231,,,2
1206227531,278848460,220300923,,,2
1206510868,276843088,218463480,,,2
1212888585,218231920,262549359,,,2
1213945298,251516778,279473837,,,2
1213945300,222369977,238011770,,,2
1213945302,243759374,255344898,,,2
1213947767,296367327,243759374,,,2
1213947768,223437497,296367327,,,2
1213947769,255344898,223437497,,,2
1213947771,214148169,247443650,,,2
1213947775,250625855,,,,1
1213947780,280519102,297520154,,,2
1213947781,297252714,230157525,,,2
1213947782,221930880,264702898,,,2
1213947783,294271976,265427817,,,2
1213947784,295608996,265888936,,,2
1213947785,260210985,258685412,,,2
1213947786,258130849,257816629,,,2
1213947787,292757314,228051527,,,2
1213950066,231286902,233859454,,,2
1213950067,240005057,255259976,,,2
1213950069,268259186,215927721,,,2
1213950070,276158993,297036994,,,2
1213950071,255989898,232051380,,,2
1213950075,232649568,299741751,,,2
1213950083,263627190,270553620,,,2
1213950085,292359652,286685249,,,2
1213950103,263259903,269431241,,,2
1213950106,221527476,238977258,,,2
1213950107,243629925,242746908,,,2
